0 0 0
0 0.816497 0
0 1.63299 0
0 2.44949 0
0 3.26599 0
0 4.08248 0
0 4.89898 0
0 5.71548 0
0 6.53197 0
0.707107 0.408248 0
0.707107 1.22474 0
0.707107 2.04124 0
0.707107 2.85774 0
0.707107 3.67423 0
0.707107 4.49073 0
0.707107 5.30723 0
0.707107 6.12372 0
0.707107 6.94022 0
1.41421 0.816497 0
1.41421 1.63299 0
-4.94975 6.12372 9
-4.94975 6.94022 9
-4.94975 7.75672 9
-4.94975 8.57321 9
-4.94975 9.38971 9
-4.94975 10.2062 9
1.41421 7.34847 0
2.12132 1.22474 0
2.12132 2.04124 0
-4.24264 6.53197 9
-4.24264 7.34847 9
-4.24264 8.16497 9
-4.24264 8.98146 9
-4.24264 9.79796 9
-4.24264 10.6145 9
2.12132 7.75672 0
2.82843 1.63299 0
2.82843 2.44949 0
-3.53553 6.94022 9
-3.53553 7.75672 9
6.36396 2.85774 -5
6.36396 3.67423 -5
-3.53553 10.2062 9
-3.53553 11.0227 9
2.82843 8.16497 0
3.53553 2.04124 0
3.53553 2.85774 0
-2.82843 7.34847 9
-2.82843 8.16497 9
7.07107 3.26599 -5
7.07107 4.08248 -5
-2.82843 10.6145 9
-2.82843 11.431 9
3.53553 8.57321 0
4.24264 2.44949 0
4.24264 3.26599 0
-2.12132 7.75672 9
-2.12132 8.57321 9
-2.12132 9.38971 9
-2.12132 10.2062 9
-2.12132 11.0227 9
-2.12132 11.8392 9
4.24264 8.98146 0
4.94975 2.85774 0
4.94975 3.67423 0
-1.41421 8.16497 9
-1.41421 8.98146 9
-1.41421 9.79796 9
-1.41421 10.6145 9
-1.41421 11.431 9
-1.41421 12.2474 9
4.94975 9.38971 0
5.65685 3.26599 0
5.65685 4.08248 0
5.65685 4.89898 0
5.65685 5.71548 0
5.65685 6.53197 0
5.65685 7.34847 0
5.65685 8.16497 0
5.65685 8.98146 0
5.65685 9.79796 0
